ip,status
1.6.109.233,alive
1.6.110.117,alive
1.6.110.226,alive
1.6.111.72,alive
1.6.111.75,alive
1.6.111.114,alive
1.6.111.157,alive
1.6.112.34,alive
1.6.112.37,alive
1.6.112.73,alive
1.6.112.106,alive
1.6.112.155,alive
1.6.112.157,dead
1.6.112.198,alive
1.6.112.232,alive
1.6.113.37,alive
1.6.113.114,alive
1.6.113.234,alive
1.6.113.237,alive
1.6.114.74,alive
1.6.114.76,alive
1.6.114.115,alive
1.6.114.235,alive
1.6.115.42,alive
1.6.115.157,alive
1.6.116.117,alive
1.6.117.101,alive
1.6.117.103,alive
1.6.117.138,dead
1.6.117.235,alive
1.6.118.130,alive
1.6.118.134,dead
1.6.119.33,alive
1.6.119.123,alive
1.6.119.237,dead
1.6.120.30,alive
1.6.120.33,alive
1.6.120.196,alive
1.6.120.197,alive
1.6.120.237,alive
1.6.121.123,alive
1.6.121.238,alive
1.6.122.99,alive
1.6.123.66,alive
1.6.127.25,alive
1.6.127.27,alive
1.6.127.31,alive
1.6.127.129,dead
1.6.127.133,dead
1.6.127.215,alive
1.6.127.217,dead
1.6.127.221,dead
1.6.127.251,dead
1.6.128.26,dead
1.6.128.41,dead
1.6.128.42,dead
1.6.128.86,dead
1.6.129.98,dead
1.6.129.131,dead
1.6.129.134,dead
1.6.130.41,dead
1.6.130.94,dead
1.6.130.207,dead
1.6.131.18,dead
1.6.131.19,dead
1.6.131.37,dead
1.6.131.39,dead
1.6.131.90,dead
1.6.131.101,dead
1.6.131.165,dead
1.6.132.35,dead
1.6.132.228,dead
1.6.133.141,dead
1.6.133.152,dead
1.6.134.9,dead
1.6.134.13,dead
1.6.134.33,dead
1.6.134.71,dead
1.6.134.115,dead
1.6.134.129,dead
1.6.134.187,dead
1.6.134.193,dead
1.6.134.237,dead
1.6.135.2,dead
1.6.135.134,dead
1.6.135.214,dead
1.6.135.232,dead
1.6.136.17,dead
1.6.136.97,dead
1.6.136.149,dead
1.6.136.150,dead
1.6.136.156,dead
1.6.136.161,dead
1.6.137.49,dead
1.6.137.55,dead
1.6.137.77,dead
1.6.137.79,dead
1.6.137.129,dead
1.6.137.131,dead
1.6.137.163,dead
1.6.137.165,dead
1.6.137.193,dead
1.6.137.195,dead
1.6.137.197,dead
1.6.137.199,dead
1.6.137.249,dead
1.6.137.251,dead
1.6.138.37,dead
1.6.138.117,dead
1.6.138.156,dead
1.6.138.193,dead
1.6.138.194,dead
1.6.138.237,dead
1.6.139.81,dead
1.6.139.83,dead
1.6.139.159,dead
1.6.139.250,dead
